ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
163	162	-1	0	1	0	0	-90.388673 38.600528,-90.388702 38.600688000000005,-90.388752 38.600817,-90.388881 38.601032000000004,-90.389006 38.601225,-90.38919 38.601436,-90.389349 38.601608,-90.389533 38.601754,-90.389722 38.601888,-90.389982 38.602051
162	163	-1	0	1	0	0	-90.389982 38.602051,-90.389722 38.601888,-90.389533 38.601754,-90.389349 38.601608,-90.38919 38.601436,-90.389006 38.601225,-90.388881 38.601032000000004,-90.388752 38.600817,-90.388702 38.600688000000005,-90.388673 38.600528
165	162	-1	0	1	0	0	-90.392099 38.602288,-90.391794 38.602329999999995,-90.391421 38.602356,-90.391182 38.602351999999996,-90.390855 38.602318,-90.390736 38.602295999999996,-90.390432 38.602222999999995,-90.390194 38.602141,-90.389982 38.602051
162	165	-1	0	1	0	0	-90.389982 38.602051,-90.390194 38.602141,-90.390432 38.602222999999995,-90.390736 38.602295999999996,-90.390855 38.602318,-90.391182 38.602351999999996,-90.391421 38.602356,-90.391794 38.602329999999995,-90.392099 38.602288
258	186	-1	0	1	0	0	-90.397374 38.61407,-90.396558 38.614288
186	258	-1	0	1	0	0	-90.396558 38.614288,-90.397374 38.61407
250	194	-1	0	1	0	0	-90.40248 38.612707,-90.402507 38.612804,-90.402522 38.61293,-90.40253 38.613068999999996,-90.402518 38.613144,-90.4025 38.613218,-90.402477 38.613296,-90.40244 38.613364000000004,-90.402398 38.613432,-90.402342 38.613516000000004,-90.4022 38.613698,-90.40211 38.613815,-90.401997 38.613996,-90.401832 38.614264,-90.401695 38.614494,-90.401507 38.614828,-90.401385 38.615132,-90.40134 38.615235999999996,-90.401295 38.615356
194	250	-1	0	1	0	0	-90.401295 38.615356,-90.40134 38.615235999999996,-90.401385 38.615132,-90.401507 38.614828,-90.401695 38.614494,-90.401832 38.614264,-90.401997 38.613996,-90.40211 38.613815,-90.4022 38.613698,-90.402342 38.613516000000004,-90.402398 38.613432,-90.40244 38.613364000000004,-90.402477 38.613296,-90.4025 38.613218,-90.402518 38.613144,-90.40253 38.613068999999996,-90.402522 38.61293,-90.402507 38.612804,-90.40248 38.612707
206	205	-1	0	1	0	0	-90.392837 38.603317000000004,-90.392816 38.603538,-90.392787 38.603677000000005
205	206	-1	0	1	0	0	-90.392787 38.603677000000005,-90.392816 38.603538,-90.392837 38.603317000000004
243	240	-1	0	1	0	0	-90.394887 38.61031,-90.395588 38.609967
240	243	-1	0	1	0	0	-90.395588 38.609967,-90.394887 38.61031
288	240	-1	0	1	0	0	-90.39629 38.609624,-90.395636 38.60995,-90.395588 38.609967
240	288	-1	0	1	0	0	-90.395588 38.609967,-90.395636 38.60995,-90.39629 38.609624
