Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	35200	48000	2	37344.9	28384.9	10.622	0.644	1	0.101865	625.231	47509.9	0.921743	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	45	23	150	0	1	90	225	0.0	17.1	42.1	1	0	Straight	0	3885.9	3928.0	-90.443414 38.701304,-90.443444 38.701342,-90.443477 38.701362,-90.44352 38.701381999999995,-90.443595 38.701403,-90.4438 38.701433,-90.444026 38.701445,-90.44435 38.701447,-90.444651 38.701452
0	46	150	129	0	1	36	90	0.0	11.8	21.8	1	0	Right	5	3933.0	3954.8	-90.444651 38.701452,-90.44466 38.701702999999995,-90.444677 38.702221
0	47	129	130	0	1	36	90	0.0	5.7	15.7	1	0	Straight	0	3954.8	3970.5	-90.444677 38.702221,-90.444675 38.702405999999996,-90.444675 38.702619999999996
0	48	130	25	0	1	54	135	0.0	7.2	22.2	1	0	Straight	0	3970.5	3992.7	-90.444675 38.702619999999996,-90.444681 38.702878,-90.444689 38.703179
0	49	25	124	0	1	72	180	0.0	14.4	34.4	1	0	Straight	0	3992.7	4027.1	-90.444689 38.703179,-90.44469 38.703236000000004,-90.444693 38.703834,-90.444695 38.704042
0	50	124	138	0	1	54	135	0.0	11.9	26.9	1	0	Right	5	4032.1	4059.0	-90.444695 38.704042,-90.443525 38.704052000000004
0	51	138	140	0	1	108	270	0.0	21.8	51.8	1	0	Straight	0	4059.0	4110.8	-90.443525 38.704052000000004,-90.443107 38.704054,-90.442485 38.704055,-90.442274 38.704045,-90.442146 38.704028,-90.442054 38.704013,-90.441845 38.703967,-90.441718 38.70393
0	52	140	139	0	1	18	45	0.0	42.3	47.3	1	0	Right	5	4115.8	4163.1	-90.441718 38.70393,-90.441772 38.703773999999996,-90.441809 38.703703000000004,-90.441869 38.703593,-90.441937 38.703497,-90.442009 38.703405000000004,-90.442109 38.703291,-90.442288 38.703137999999996,-90.442433 38.703035,-90.442545 38.702968,-90.442626 38.702909,-90.442725 38.702827,-90.4428 38.702745,-90.442839 38.702691,-90.442885 38.702628000000004,-90.442921 38.70256,-90.442968 38.70245,-90.443 38.702363,-90.443012 38.702285,-90.443027 38.70218,-90.443037 38.702073999999996,-90.443028 38.701999,-90.443014 38.701932,-90.443 38.701872,-90.442985 38.701809999999995,-90.442954 38.701727000000005,-90.442915 38.701631,-90.442851 38.701530000000005,-90.442777 38.701437999999996,-90.442722 38.701371,-90.442669 38.701302999999996,-90.442503 38.701096,-90.442277 38.700828,-90.441987 38.700469
0	53	139	135	0	0	0	0	0.0	5.9	0.0	0	0	Right	5	4168.1	4174.0	-90.441987 38.700469,-90.442472 38.700171
0	54	135	387	0	0	0	0	0.0	6.2	0.0	0	0	Straight	0	4174.0	4180.2	-90.442472 38.700171,-90.442553 38.700131999999996,-90.442695 38.700073,-90.442807 38.700033000000005,-90.442924 38.700001,-90.44311 38.699960000000004,-90.443127 38.699957999999995
0	55	387	127	1	1	36	90	0.0	8.0	18.0	1	0	Straight	0	4180.2	4198.2	-90.443127 38.699957999999995,-90.443302 38.699934999999996,-90.443477 38.699926000000005,-90.443648 38.699923999999996,-90.443766 38.699926000000005,-90.443865 38.699931
0	56	127	126	0	1	288	720	0.0	61.9	141.9	1	0	Straight	0	4198.2	4340.1	-90.443865 38.699931,-90.445845 38.699904000000004,-90.446363 38.699923
0	57	126	127	0	1	252	630	0.0	57.7	127.7	1	0	U	125	4465.1	4592.8	-90.446363 38.699923,-90.445845 38.699904000000004,-90.443865 38.699931
0	58	127	387	1	1	36	90	0.0	8.0	18.0	0	0	Straight	0	4592.8	4600.8	-90.443865 38.699931,-90.443766 38.699926000000005,-90.443648 38.699923999999996,-90.443477 38.699926000000005,-90.443302 38.699934999999996,-90.443127 38.699957999999995
0	59	387	135	0	1	54	135	0.0	6.6	21.6	1	0	Straight	0	4600.8	4622.4	-90.443127 38.699957999999995,-90.44311 38.699960000000004,-90.442924 38.700001,-90.442807 38.700033000000005,-90.442695 38.700073,-90.442553 38.700131999999996,-90.442472 38.700171
0	60	135	134	0	1	18	45	0.0	33.1	38.1	1	0	Right	5	4627.4	4665.5	-90.442472 38.700171,-90.442361 38.700064,-90.442088 38.699764,-90.441991 38.699657
0	61	134	135	0	1	90	225	0.0	44.1	69.1	1	0	U	125	4790.5	4859.6	-90.441991 38.699657,-90.442088 38.699764,-90.442361 38.700064,-90.442472 38.700171
0	62	135	139	0	0	0	0	0.0	9.0	0.0	0	0	Right	5	4864.6	4873.6	-90.442472 38.700171,-90.441987 38.700469
0	63	139	137	0	1	18	45	0.0	18.3	23.3	1	0	Straight	0	4873.6	4896.9	-90.441987 38.700469,-90.441753 38.700561,-90.441601 38.700621999999996,-90.441453 38.700665,-90.441281 38.700700999999995,-90.44114 38.700722999999996,-90.440982 38.700735,-90.44093 38.700741
0	64	137	136	0	1	72	180	0.0	15.4	35.4	1	0	Right	5	4901.9	4937.3	-90.44093 38.700741,-90.440929 38.700654,-90.440929 38.700077,-90.440929 38.699968
0	65	136	137	0	1	126	315	0.0	19.3	54.3	1	0	U	125	5062.3	5116.6	-90.440929 38.699968,-90.440929 38.700077,-90.440929 38.700654,-90.44093 38.700741
0	66	137	146	0	1	90	225	0.0	20.2	45.2	1	0	Straight	0	5116.6	5161.8	-90.44093 38.700741,-90.440927 38.7012,-90.440927 38.701499999999996
0	67	146	22	0	1	90	225	0.0	11.0	36.0	1	0	Straight	0	5161.8	5197.8	-90.440927 38.701499999999996,-90.440935 38.701997,-90.440943 38.702155000000005,-90.440953 38.702188,-90.44097 38.702208
0	68	22	125	1	1	234	585	0.0	20.7	85.7	1	0	Straight	0	5197.8	5283.5	-90.44097 38.702208,-90.441002 38.70223,-90.44103 38.702239,-90.441115 38.702246,-90.441706 38.702246,-90.441781 38.702239,-90.441855 38.702235,-90.441924 38.702222,-90.442031 38.702184,-90.442128 38.70214
0	69	125	22	1	1	234	585	0.0	20.7	85.7	0	0	U	125	5408.5	5429.2	-90.442128 38.70214,-90.442031 38.702184,-90.441924 38.702222,-90.441855 38.702235,-90.441781 38.702239,-90.441706 38.702246,-90.441115 38.702246,-90.44103 38.702239,-90.441002 38.70223,-90.44097 38.702208
0	70	22	146	0	0	0	0	0.0	15.8	0.0	0	0	Straight	0	5429.2	5445.0	-90.44097 38.702208,-90.440953 38.702188,-90.440943 38.702155000000005,-90.440935 38.701997,-90.440927 38.701499999999996
0	71	146	145	0	1	144	360	0.0	67.4	107.4	1	0	Right	5	5450.0	5557.4	-90.440927 38.701499999999996,-90.441061 38.701507,-90.441218 38.701502000000005,-90.441346 38.701491000000004,-90.441468 38.701465999999996,-90.441917 38.701347999999996,-90.442137 38.701289,-90.442246 38.701254
0	72	145	146	0	1	108	270	0.0	52.4	82.4	1	0	U	125	5682.4	5764.8	-90.442246 38.701254,-90.442137 38.701289,-90.441917 38.701347999999996,-90.441468 38.701465999999996,-90.441346 38.701491000000004,-90.441218 38.701502000000005,-90.441061 38.701507,-90.440927 38.701499999999996
0	73	146	137	0	0	0	0	0.0	18.9	0.0	0	0	Right	5	5769.8	5788.7	-90.440927 38.701499999999996,-90.440927 38.7012,-90.44093 38.700741
0	74	137	139	0	1	90	225	0.0	16.8	41.8	1	0	Right	5	5793.7	5835.5	-90.44093 38.700741,-90.440982 38.700735,-90.44114 38.700722999999996,-90.441281 38.700700999999995,-90.441453 38.700665,-90.441601 38.700621999999996,-90.441753 38.700561,-90.441987 38.700469
0	75	139	140	0	1	108	270	0.0	39.2	69.2	1	0	Right	5	5840.5	5909.7	-90.441987 38.700469,-90.442277 38.700828,-90.442503 38.701096,-90.442669 38.701302999999996,-90.442722 38.701371,-90.442777 38.701437999999996,-90.442851 38.701530000000005,-90.442915 38.701631,-90.442954 38.701727000000005,-90.442985 38.701809999999995,-90.443 38.701872,-90.443014 38.701932,-90.443028 38.701999,-90.443037 38.702073999999996,-90.443027 38.70218,-90.443012 38.702285,-90.443 38.702363,-90.442968 38.70245,-90.442921 38.70256,-90.442885 38.702628000000004,-90.442839 38.702691,-90.4428 38.702745,-90.442725 38.702827,-90.442626 38.702909,-90.442545 38.702968,-90.442433 38.703035,-90.442288 38.703137999999996,-90.442109 38.703291,-90.442009 38.703405000000004,-90.441937 38.703497,-90.441869 38.703593,-90.441809 38.703703000000004,-90.441772 38.703773999999996,-90.441718 38.70393
0	76	140	142	0	1	108	270	0.0	15.0	45.0	1	0	Straight	0	5909.7	5954.7	-90.441718 38.70393,-90.441692 38.704028,-90.441669 38.704156999999995,-90.44166 38.704253,-90.441653 38.704392999999996,-90.441659 38.704505,-90.441667 38.704578,-90.441685 38.704721,-90.441713 38.704819,-90.441762 38.704954,-90.441865 38.705132,-90.441985 38.705313000000004,-90.442125 38.705473
0	77	142	141	0	1	72	180	0.0	36.7	56.7	1	0	Right	5	5959.7	6016.4	-90.442125 38.705473,-90.441978 38.705557,-90.441879 38.705621,-90.441572 38.705777,-90.441432 38.705812,-90.441204 38.705842000000004,-90.441073 38.705819000000005
0	78	141	142	0	1	90	225	0.0	57.7	82.7	1	0	U	125	6141.4	6224.1	-90.441073 38.705819000000005,-90.441204 38.705842000000004,-90.441432 38.705812,-90.441572 38.705777,-90.441879 38.705621,-90.441978 38.705557,-90.442125 38.705473
0	79	142	21	1	1	108	270	0.0	6.6	36.6	0	0	Right	5	6229.1	6235.7	-90.442125 38.705473,-90.442282 38.705599,-90.442466 38.705724000000004,-90.442701 38.705884999999995,-90.442763 38.705938
0	80	21	144	0	1	36	90	0.0	4.7	14.7	1	0	Straight	0	6235.7	6250.4	-90.442763 38.705938,-90.442955 38.706102,-90.443071 38.706210999999996,-90.443178 38.706311
0	81	144	444	1	1	162	405	0.0	47.8	92.8	1	0	Right	5	6255.4	6348.2	-90.443178 38.706311,-90.443026 38.706410000000005,-90.442854 38.706519,-90.442612 38.70664,-90.442519 38.706666999999996,-90.442385 38.706691,-90.442179 38.706716,-90.442033 38.706724,-90.441607 38.70675,-90.4411 38.706751
0	82	444	143	0	1	36	90	0.0	21.5	31.5	1	0	Straight	0	6348.2	6379.7	-90.4411 38.706751,-90.440976 38.706752
0	83	143	444	0	1	36	90	0.0	14.3	24.3	1	0	U	125	6504.7	6529.0	-90.440976 38.706752,-90.4411 38.706751
0	84	444	144	1	1	162	405	0.0	47.8	92.8	0	0	Straight	0	6529.0	6576.8	-90.4411 38.706751,-90.441607 38.70675,-90.442033 38.706724,-90.442179 38.706716,-90.442385 38.706691,-90.442519 38.706666999999996,-90.442612 38.70664,-90.442854 38.706519,-90.443026 38.706410000000005,-90.443178 38.706311
0	85	144	131	1	1	18	45	0.0	6.5	11.5	0	0	Right	5	6581.8	6588.3	-90.443178 38.706311,-90.443409 38.706604,-90.443544 38.706833,-90.443586 38.706933
0	86	131	121	0	0	0	0	0.0	7.0	0.0	0	0	Straight	0	6588.3	6595.3	-90.443586 38.706933,-90.443559 38.707025,-90.443624 38.707278,-90.443651 38.707385,-90.443675 38.707505,-90.443682 38.7076
0	87	121	132	0	0	0	0	0.0	10.7	0.0	0	0	Straight	0	6595.3	6606.0	-90.443682 38.7076,-90.443707 38.708189000000004
0	88	132	107	0	0	0	0	0.0	10.2	0.0	0	0	Right	5	6611.0	6621.2	-90.443707 38.708189000000004,-90.443343 38.708200000000005,-90.44308 38.708218,-90.442682 38.708255
0	89	107	106	0	0	0	0	0.0	1.4	0.0	0	0	Straight	0	6621.2	6622.6	-90.442682 38.708255,-90.442394 38.70825
0	90	106	105	0	0	0	0	0.0	1.2	0.0	0	0	Straight	0	6622.6	6623.8	-90.442394 38.70825,-90.442131 38.708246
0	91	105	102	0	0	0	0	0.0	5.1	0.0	0	0	Straight	0	6623.8	6628.9	-90.442131 38.708246,-90.441066 38.708264
0	92	102	492	0	0	0	0	0.0	1.9	0.0	0	0	Straight	0	6628.9	6630.8	-90.441066 38.708264,-90.440671 38.708268000000004
0	93	492	47	0	0	0	0	0.0	1.2	0.0	0	0	Straight	0	6630.8	6632.0	-90.440671 38.708268000000004,-90.440425 38.708270999999996
0	94	47	101	0	0	0	0	0.0	2.3	0.0	0	0	Straight	0	6632.0	6634.3	-90.440425 38.708270999999996,-90.439978 38.708276
0	95	101	49	0	1	18	45	0.0	7.6	12.6	1	0	Straight	0	6634.3	6646.9	-90.439978 38.708276,-90.439296 38.708285000000004,-90.438404 38.708301
0	96	49	96	0	1	18	45	0.0	2.4	7.4	1	0	Straight	0	6646.9	6654.3	-90.438404 38.708301,-90.437916 38.70831
0	97	96	58	0	0	0	0	0.0	16.1	0.0	0	0	Right	5	6659.3	6675.4	-90.437916 38.70831,-90.437909 38.707218999999995
