Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	35200	48000	2	30898.2	25753.2	7201.35	0	0.558937	524.308	1.10526	41937.2	2.20133	0.890562	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	31	393	416	0	1	198	495	0.0	65.5	120.5	1	0	Straight	0	1296.5	1417.0	LINESTRING(-95.384461 30.103046,-95.384466 30.103104,-95.384488 30.103266,-95.384520 30.103547,-95.384525 30.103596,-95.384522 30.103633,-95.384509 30.103659,-95.384477 30.103686,-95.384348 30.103772,-95.383752 30.104136,-95.383712 30.104148,-95.383683 30.104160,-95.383643 30.104157,-95.383610 30.104143,-95.383565 30.104125,-95.382996 30.103719,-95.382964 30.103700,-95.382910 30.103677,-95.382857 30.103656,-95.382771 30.103635)
0	32	416	300	1	1	18	45	0.0	11.1	16.1	0	0	Right	5	1422.0	1433.1	LINESTRING(-95.382771 30.103635,-95.382806 30.103542,-95.382833 30.103478,-95.382854 30.103424,-95.382884 30.103361,-95.382902 30.103320,-95.382918 30.103280,-95.382940 30.103238,-95.382972 30.103192,-95.383007 30.103146,-95.383047 30.103104,-95.383111 30.103050)
0	33	300	489	0	1	90	225	0.0	30.1	55.1	1	0	Right	5	1438.1	1493.2	LINESTRING(-95.383111 30.103050,-95.383557 30.103345,-95.383605 30.103380,-95.383645 30.103399,-95.383671 30.103399)
0	34	489	393	0	1	72	180	0.0	40.0	60.0	1	0	Straight	0	1493.2	1553.2	LINESTRING(-95.383671 30.103399,-95.383683 30.103399,-95.383723 30.103392,-95.383755 30.103382,-95.383798 30.103354,-95.383860 30.103320,-95.384101 30.103136,-95.384179 30.103085,-95.384243 30.103060,-95.384300 30.103053,-95.384364 30.103048,-95.384461 30.103046)
0	35	393	412	0	1	198	495	0.0	2.0	57.0	1	0	Left	25	1578.2	1635.2	LINESTRING(-95.384461 30.103046,-95.384453 30.102946)
0	36	412	300	0	1	306	765	0.0	26.5	111.5	1	0	Straight	0	1635.2	1746.7	LINESTRING(-95.384453 30.102946,-95.384434 30.102872,-95.384412 30.102821,-95.384377 30.102777,-95.384337 30.102753,-95.384281 30.102726,-95.383975 30.102587,-95.383914 30.102561,-95.383871 30.102549,-95.383803 30.102549,-95.383755 30.102563,-95.383712 30.102589,-95.383669 30.102612,-95.383624 30.102645,-95.383589 30.102670,-95.383562 30.102693,-95.383420 30.102788,-95.383256 30.102914,-95.383165 30.102992,-95.383111 30.103050)
0	37	300	416	1	1	18	45	0.0	11.1	16.1	1	0	Straight	0	1746.7	1762.8	LINESTRING(-95.383111 30.103050,-95.383047 30.103104,-95.383007 30.103146,-95.382972 30.103192,-95.382940 30.103238,-95.382918 30.103280,-95.382902 30.103320,-95.382884 30.103361,-95.382854 30.103424,-95.382833 30.103478,-95.382806 30.103542,-95.382771 30.103635)
0	38	416	437	0	1	198	495	0.0	34.7	89.7	1	0	Straight	0	1762.8	1852.5	LINESTRING(-95.382771 30.103635,-95.382610 30.104016,-95.382599 30.104065,-95.382597 30.104116,-95.382602 30.104148,-95.382631 30.104197,-95.382661 30.104229,-95.382696 30.104260,-95.382733 30.104297,-95.383407 30.104819,-95.383484 30.104865,-95.383543 30.104879,-95.383592 30.104888,-95.383627 30.104886,-95.383659 30.104879,-95.383685 30.104872,-95.383736 30.104842,-95.383852 30.104763,-95.383914 30.104724,-95.383946 30.104710,-95.383983 30.104703)
0	39	437	463	0	0	0	0	0.0	3.8	0.0	0	0	Straight	0	1852.5	1856.3	LINESTRING(-95.383983 30.104703,-95.384026 30.104703,-95.384066 30.104703,-95.384104 30.104712,-95.384141 30.104744)
0	40	463	326	0	0	0	0	0.0	14.5	0.0	0	0	Straight	0	1856.3	1870.8	LINESTRING(-95.384141 30.104744,-95.384308 30.104953)
0	41	326	335	0	0	0	0	0.0	4.9	0.0	0	0	Right	5	1875.8	1880.7	LINESTRING(-95.384308 30.104953,-95.384188 30.105047,-95.384010 30.105179,-95.383881 30.105279)
0	42	335	66	0	0	0	0	0.0	5.7	0.0	0	0	Straight	0	1880.7	1886.4	LINESTRING(-95.383881 30.105279,-95.383826 30.105321,-95.383657 30.105449)
0	43	66	78	0	0	0	0	0.0	8.7	0.0	0	0	Straight	0	1886.4	1895.1	LINESTRING(-95.383657 30.105449,-95.383483 30.105573)
0	44	78	501	0	1	18	45	0.0	9.1	14.1	1	0	Right	5	1900.1	1914.2	LINESTRING(-95.383483 30.105573,-95.383235 30.105311,-95.383150 30.105236,-95.383086 30.105169,-95.383019 30.105115,-95.382866 30.104981,-95.382697 30.104841)
0	45	501	95	0	0	0	0	0.0	13.1	0.0	0	0	Straight	0	1914.2	1927.3	LINESTRING(-95.382697 30.104841,-95.382525 30.104704,-95.382383 30.104602,-95.382236 30.104507,-95.382102 30.104428,-95.381922 30.104337,-95.381756 30.104245,-95.381579 30.104154,-95.381337 30.104026)
0	46	95	336	0	0	0	0	0.0	10.3	0.0	0	0	Straight	0	1927.3	1937.6	LINESTRING(-95.381337 30.104026,-95.381053 30.103894,-95.380339 30.103468)
0	47	336	467	0	0	0	0	0.0	4.0	0.0	0	0	Straight	0	1937.6	1941.6	LINESTRING(-95.380339 30.103468,-95.379987 30.103214,-95.379938 30.103174)
0	48	467	304	0	0	0	0	0.0	8.1	0.0	0	0	Straight	0	1941.6	1949.7	LINESTRING(-95.379938 30.103174,-95.379630 30.102919,-95.379271 30.102555)
0	49	304	92	0	0	0	0	0.0	12.4	0.0	0	0	Right	5	1954.7	1967.1	LINESTRING(-95.379271 30.102555,-95.379637 30.102363)
0	50	92	88	0	0	0	0	0.0	20.2	0.0	0	0	Straight	0	1967.1	1987.3	LINESTRING(-95.379637 30.102363,-95.380817 30.101718)
0	51	88	87	0	0	0	0	0.0	12.8	0.0	0	0	Right	5	1992.3	2005.1	LINESTRING(-95.380817 30.101718,-95.381030 30.101975,-95.381105 30.102078,-95.381151 30.102158,-95.381194 30.102234,-95.381220 30.102281,-95.381254 30.102350)
0	52	87	83	0	0	0	0	0.0	26.7	0.0	0	0	Left	25	2030.1	2056.8	LINESTRING(-95.381254 30.102350,-95.382332 30.102326)
0	53	83	423	0	1	90	225	0.0	25.3	50.3	1	0	Straight	0	2056.8	2107.1	LINESTRING(-95.382332 30.102326,-95.382594 30.102296,-95.382766 30.102240,-95.382900 30.102194,-95.383087 30.102068,-95.383222 30.101989,-95.383239 30.101967)
0	54	423	81	0	1	36	90	0.0	79.1	89.1	1	0	Straight	0	2107.1	2196.2	LINESTRING(-95.383239 30.101967,-95.383254 30.101948,-95.383259 30.101897,-95.383232 30.101841,-95.382985 30.101488,-95.382165 30.100351,-95.382057 30.100212,-95.382014 30.100175,-95.381945 30.100142)
0	55	81	82	0	0	0	0	0.0	14.3	0.0	0	0	Straight	0	2196.2	2210.5	LINESTRING(-95.381945 30.100142,-95.381880 30.100142,-95.381107 30.100439)
0	56	82	80	0	0	0	0	0.0	19.3	0.0	0	0	Straight	0	2210.5	2229.8	LINESTRING(-95.381107 30.100439,-95.381048 30.100459,-95.380961 30.100488,-95.380890 30.100520,-95.380801 30.100572,-95.380717 30.100625,-95.380638 30.100687,-95.380531 30.100780,-95.380395 30.100892,-95.380245 30.101035)
0	57	80	52	0	0	0	0	0.0	57.0	0.0	0	0	Straight	0	2229.8	2286.8	LINESTRING(-95.380245 30.101035,-95.380164 30.101118,-95.380082 30.101209,-95.380014 30.101280,-95.379938 30.101348,-95.379879 30.101405,-95.379797 30.101476,-95.379738 30.101527,-95.379647 30.101578,-95.379542 30.101618,-95.379401 30.101663,-95.379266 30.101708,-95.379155 30.101748,-95.379084 30.101782)
0	58	52	79	0	1	18	45	0.0	8.8	13.8	1	0	Straight	0	2286.8	2300.6	LINESTRING(-95.379084 30.101782,-95.378995 30.101825)
0	59	79	52	0	1	18	45	0.0	7.1	12.1	1	0	U	125	2425.6	2437.7	LINESTRING(-95.378995 30.101825,-95.379084 30.101782)
0	60	52	80	0	1	90	225	0.0	46.7	71.7	1	0	Straight	0	2437.7	2509.4	LINESTRING(-95.379084 30.101782,-95.379155 30.101748,-95.379266 30.101708,-95.379401 30.101663,-95.379542 30.101618,-95.379647 30.101578,-95.379738 30.101527,-95.379797 30.101476,-95.379879 30.101405,-95.379938 30.101348,-95.380014 30.101280,-95.380082 30.101209,-95.380164 30.101118,-95.380245 30.101035)
0	61	80	90	0	0	0	0	0.0	16.9	0.0	0	0	Right	5	2514.4	2531.3	LINESTRING(-95.380245 30.101035,-95.380475 30.101230,-95.380595 30.101375,-95.380710 30.101571)
0	62	90	88	0	0	0	0	0.0	13.9	0.0	0	0	Straight	0	2531.3	2545.2	LINESTRING(-95.380710 30.101571,-95.380817 30.101718)
0	63	88	87	0	0	0	0	0.0	12.8	0.0	0	0	Straight	0	2545.2	2558.0	LINESTRING(-95.380817 30.101718,-95.381030 30.101975,-95.381105 30.102078,-95.381151 30.102158,-95.381194 30.102234,-95.381220 30.102281,-95.381254 30.102350)
0	64	87	86	0	1	54	135	0.0	20.4	35.4	1	0	Straight	0	2558.0	2593.4	LINESTRING(-95.381254 30.102350,-95.381269 30.102441,-95.381262 30.102534,-95.381252 30.102620,-95.381222 30.102749,-95.381194 30.102837,-95.381129 30.102988,-95.381062 30.103104,-95.380988 30.103224)
0	65	86	85	0	1	72	180	0.0	52.0	72.0	1	0	Right	5	2598.4	2670.4	LINESTRING(-95.380988 30.103224,-95.380828 30.103127,-95.380574 30.102966,-95.380356 30.102815,-95.380249 30.102727,-95.380171 30.102652,-95.380105 30.102575,-95.380061 30.102507,-95.380027 30.102429)
0	66	85	86	0	1	144	360	0.0	58.5	98.5	1	0	U	125	2795.4	2893.9	LINESTRING(-95.380027 30.102429,-95.380061 30.102507,-95.380105 30.102575,-95.380171 30.102652,-95.380249 30.102727,-95.380356 30.102815,-95.380574 30.102966,-95.380828 30.103127,-95.380988 30.103224)
0	67	86	84	0	1	108	270	0.0	48.4	78.4	1	0	Straight	0	2893.9	2972.3	LINESTRING(-95.380988 30.103224,-95.381244 30.103371,-95.381554 30.103544,-95.381632 30.103585,-95.381709 30.103614,-95.381773 30.103621,-95.381833 30.103608)
0	68	84	83	0	1	162	405	0.0	46.1	91.1	1	0	Straight	0	2972.3	3063.4	LINESTRING(-95.381833 30.103608,-95.381883 30.103585,-95.381922 30.103542,-95.381952 30.103503,-95.381968 30.103461,-95.382165 30.103012,-95.382314 30.102631,-95.382329 30.102552,-95.382336 30.102478,-95.382342 30.102403,-95.382332 30.102326)
0	69	83	82	1	1	144	360	0.0	87.0	127.0	1	0	Straight	0	3063.4	3190.4	LINESTRING(-95.382332 30.102326,-95.382305 30.102195,-95.382264 30.102076,-95.382175 30.101936,-95.381107 30.100439)
0	70	82	81	0	0	0	0	0.0	28.7	0.0	0	0	Right	5	3195.4	3224.1	LINESTRING(-95.381107 30.100439,-95.381880 30.100142,-95.381945 30.100142)
0	71	81	423	0	1	54	135	0.0	58.0	73.0	1	0	Straight	0	3224.1	3297.1	LINESTRING(-95.381945 30.100142,-95.382014 30.100175,-95.382057 30.100212,-95.382165 30.100351,-95.382985 30.101488,-95.383232 30.101841,-95.383259 30.101897,-95.383254 30.101948,-95.383239 30.101967)
0	72	423	83	0	0	0	0	0.0	22.2	0.0	0	0	Straight	0	3297.1	3319.3	LINESTRING(-95.383239 30.101967,-95.383222 30.101989,-95.383087 30.102068,-95.382900 30.102194,-95.382766 30.102240,-95.382594 30.102296,-95.382332 30.102326)
0	73	83	84	0	1	108	270	0.0	61.4	91.4	1	0	Left	25	3344.3	3435.7	LINESTRING(-95.382332 30.102326,-95.382342 30.102403,-95.382336 30.102478,-95.382329 30.102552,-95.382314 30.102631,-95.382165 30.103012,-95.381968 30.103461,-95.381952 30.103503,-95.381922 30.103542,-95.381883 30.103585,-95.381833 30.103608)
0	74	84	86	0	0	0	0	0.0	42.4	0.0	0	0	Straight	0	3435.7	3478.1	LINESTRING(-95.381833 30.103608,-95.381773 30.103621,-95.381709 30.103614,-95.381632 30.103585,-95.381554 30.103544,-95.381244 30.103371,-95.380988 30.103224)
0	75	86	87	0	1	90	225	0.0	21.6	46.6	1	0	Right	5	3483.1	3529.7	LINESTRING(-95.380988 30.103224,-95.381062 30.103104,-95.381129 30.102988,-95.381194 30.102837,-95.381222 30.102749,-95.381252 30.102620,-95.381262 30.102534,-95.381269 30.102441,-95.381254 30.102350)
0	76	87	88	0	1	90	225	0.0	14.1	39.1	1	0	Straight	0	3529.7	3568.8	LINESTRING(-95.381254 30.102350,-95.381220 30.102281,-95.381194 30.102234,-95.381151 30.102158,-95.381105 30.102078,-95.381030 30.101975,-95.380817 30.101718)
0	77	88	90	0	0	0	0	0.0	3.0	0.0	0	0	Straight	0	3568.8	3571.8	LINESTRING(-95.380817 30.101718,-95.380710 30.101571)
0	78	90	91	0	0	0	0	0.0	24.2	0.0	0	0	Left	25	3596.8	3621.0	LINESTRING(-95.380710 30.101571,-95.379553 30.102245)
0	79	91	414	0	0	0	0	0.0	39.0	0.0	0	0	Straight	0	3621.0	3660.0	LINESTRING(-95.379553 30.102245,-95.379165 30.102443)
0	80	414	89	0	0	0	0	0.0	3.5	0.0	0	0	Straight	0	3660.0	3663.5	LINESTRING(-95.379165 30.102443,-95.379025 30.102515)
0	81	89	93	0	0	0	0	0.0	1.4	0.0	0	0	Left	25	3688.5	3689.9	LINESTRING(-95.379025 30.102515,-95.379127 30.102630)
0	82	93	466	0	0	0	0	0.0	7.9	0.0	0	0	Straight	0	3689.9	3697.8	LINESTRING(-95.379127 30.102630,-95.379185 30.102698,-95.379239 30.102761,-95.379444 30.102972,-95.379620 30.103129,-95.379799 30.103296)
0	83	466	65	0	0	0	0	0.0	17.9	0.0	0	0	Straight	0	3697.8	3715.7	LINESTRING(-95.379799 30.103296,-95.380010 30.103455,-95.380332 30.103673,-95.380686 30.103871,-95.381245 30.104160)
0	84	65	398	0	0	0	0	0.0	12.2	0.0	0	0	Straight	0	3715.7	3727.9	LINESTRING(-95.381245 30.104160,-95.381809 30.104457,-95.382211 30.104691,-95.382549 30.104939)
0	85	398	63	0	0	0	0	0.0	9.1	0.0	0	0	Straight	0	3727.9	3737.0	LINESTRING(-95.382549 30.104939,-95.382916 30.105226,-95.383363 30.105674)
0	86	63	388	0	0	0	0	0.0	4.2	0.0	0	0	Right	5	3742.0	3746.2	LINESTRING(-95.383363 30.105674,-95.383132 30.105830)
0	87	388	60	0	0	0	0	0.0	6.0	0.0	0	0	Straight	0	3746.2	3752.2	LINESTRING(-95.383132 30.105830,-95.382870 30.106006)
0	88	60	500	0	0	0	0	0.0	7.5	0.0	0	0	Right	5	3757.2	3764.7	LINESTRING(-95.382870 30.106006,-95.382824 30.105951,-95.382666 30.105791,-95.382611 30.105752,-95.382554 30.105729)
0	89	500	58	1	1	198	495	0.0	36.7	91.7	0	0	Straight	0	3764.7	3801.4	LINESTRING(-95.382554 30.105729,-95.382491 30.105730,-95.382435 30.105749,-95.382335 30.105808,-95.382169 30.105953,-95.381956 30.106157,-95.381865 30.106236,-95.381763 30.106332,-95.381702 30.106392,-95.381675 30.106437,-95.381671 30.106474)
0	90	58	57	0	1	126	315	0.0	25.9	60.9	1	0	Straight	0	3801.4	3862.3	LINESTRING(-95.381671 30.106474,-95.381677 30.106506,-95.381699 30.106541,-95.381724 30.106572,-95.381787 30.106624,-95.382110 30.106916,-95.382166 30.106964,-95.382206 30.106990,-95.382241 30.107001,-95.382291 30.107007)
0	91	57	56	1	1	198	495	0.0	35.3	90.3	0	0	Straight	0	3862.3	3897.6	LINESTRING(-95.382291 30.107007,-95.382345 30.106992,-95.382389 30.106964,-95.382438 30.106925,-95.382946 30.106460)
0	92	56	57	1	1	198	495	0.0	35.3	90.3	1	0	U	125	4022.6	4112.9	LINESTRING(-95.382946 30.106460,-95.382438 30.106925,-95.382389 30.106964,-95.382345 30.106992,-95.382291 30.107007)
0	93	57	58	0	0	0	0	0.0	20.7	0.0	0	0	Straight	0	4112.9	4133.6	LINESTRING(-95.382291 30.107007,-95.382241 30.107001,-95.382206 30.106990,-95.382166 30.106964,-95.382110 30.106916,-95.381787 30.106624,-95.381724 30.106572,-95.381699 30.106541,-95.381677 30.106506,-95.381671 30.106474)
0	94	58	500	1	1	198	495	0.0	36.7	91.7	1	0	Straight	0	4133.6	4225.3	LINESTRING(-95.381671 30.106474,-95.381675 30.106437,-95.381702 30.106392,-95.381763 30.106332,-95.381865 30.106236,-95.381956 30.106157,-95.382169 30.105953,-95.382335 30.105808,-95.382435 30.105749,-95.382491 30.105730,-95.382554 30.105729)
0	95	500	60	0	0	0	0	0.0	6.9	0.0	0	0	Straight	0	4225.3	4232.2	LINESTRING(-95.382554 30.105729,-95.382611 30.105752,-95.382666 30.105791,-95.382824 30.105951,-95.382870 30.106006)
