Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	35200	48000	2	28221.6	23596.6	7200.57	0	1.61905	0.426007	486.591	26768.8	0.835045	2.29564	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	40	285	284	0	0	0	0	0.0	3.4	0.0	0	0	Straight	0	1385.8	1389.2	-90.519711 38.680324,-90.519826 38.680339000000004
0	41	284	246	0	0	0	0	0.0	1.3	0.0	0	0	Left	25	1414.2	1415.5	-90.519826 38.680339000000004,-90.51983 38.680266,-90.519787 38.680216
0	42	246	245	1	0	0	0	0.0	0.8	0.0	0	0	Right	5	1420.5	1421.3	-90.519787 38.680216,-90.519806 38.680131
0	43	245	84	0	0	0	0	0.0	8.6	0.0	0	0	Straight	0	1421.3	1429.9	-90.519806 38.680131,-90.519891 38.679631,-90.519942 38.679517000000004,-90.520074 38.679341
0	44	84	82	0	0	0	0	0.0	2.3	0.0	0	0	Straight	0	1429.9	1432.2	-90.520074 38.679341,-90.520216 38.679255999999995
0	45	82	145	0	0	0	0	0.0	16.4	0.0	0	0	Straight	0	1432.2	1448.6	-90.520216 38.679255999999995,-90.520314 38.679218,-90.520514 38.679165,-90.520656 38.679157000000004,-90.520843 38.679176999999996,-90.521537 38.679247000000004,-90.521872 38.67928,-90.521991 38.679279
0	46	145	75	0	1	18	45	0.0	10.3	15.3	1	0	Right	5	1453.6	1468.9	-90.521991 38.679279,-90.52198 38.679818999999995
0	47	75	140	0	1	18	45	0.0	11.8	16.8	1	0	Right	5	1473.9	1490.7	-90.52198 38.679818999999995,-90.521436 38.679804000000004
0	48	140	139	0	1	54	135	0.0	36.3	51.3	1	0	Straight	0	1490.7	1542.0	-90.521436 38.679804000000004,-90.520704 38.679764
0	49	139	138	1	1	54	135	0.0	16.6	31.6	1	0	Right	5	1547.0	1578.6	-90.520704 38.679764,-90.52069 38.679743,-90.520674 38.679731000000004,-90.520649 38.679716,-90.520595 38.679707,-90.520553 38.67972,-90.520534 38.679747,-90.520529 38.679766
0	50	138	139	1	1	54	135	0.0	16.6	31.6	0	0	U	125	1703.6	1720.2	-90.520529 38.679766,-90.520534 38.679747,-90.520553 38.67972,-90.520595 38.679707,-90.520649 38.679716,-90.520674 38.679731000000004,-90.52069 38.679743,-90.520704 38.679764
0	51	139	140	0	1	36	90	0.0	31.8	41.8	1	0	Left	25	1745.2	1787.0	-90.520704 38.679764,-90.521436 38.679804000000004
0	52	140	75	0	1	18	45	0.0	9.4	14.4	1	0	Straight	0	1787.0	1801.4	-90.521436 38.679804000000004,-90.52198 38.679818999999995
0	53	75	144	0	0	0	0	0.0	5.3	0.0	0	0	Straight	0	1801.4	1806.7	-90.52198 38.679818999999995,-90.522163 38.67982
0	54	144	164	1	1	180	450	0.0	43.1	93.1	1	0	Straight	0	1806.7	1899.8	-90.522163 38.67982,-90.52249 38.679835,-90.522834 38.679911000000004,-90.523142 38.680019,-90.523224 38.680062,-90.523303 38.680122999999995,-90.523401 38.68022,-90.523479 38.680345,-90.523525 38.680448999999996,-90.523546 38.680519000000004
0	55	164	163	0	1	36	90	0.0	16.2	26.2	1	0	Straight	0	1899.8	1926.0	-90.523546 38.680519000000004,-90.523555 38.680574,-90.52356 38.680693000000005,-90.523546 38.680789000000004,-90.523509 38.680866,-90.523449 38.680921999999995,-90.523359 38.680976
0	56	163	34	0	0	0	0	0.0	10.8	0.0	0	0	Straight	0	1926.0	1936.8	-90.523359 38.680976,-90.523215 38.681028,-90.523157 38.681031000000004,-90.523063 38.681008
0	57	34	143	0	1	72	180	0.0	59.9	79.9	1	0	Straight	0	1936.8	2016.7	-90.523063 38.681008,-90.522101 38.680654000000004,-90.521977 38.680602,-90.521861 38.680521,-90.521716 38.680407,-90.521585 38.680274
0	58	143	142	0	1	54	135	0.0	50.6	65.6	1	0	Left	25	2041.7	2107.3	-90.521585 38.680274,-90.521436 38.680412000000004,-90.521355 38.680471,-90.521223 38.680499999999995,-90.521074 38.680489,-90.520518 38.680419,-90.520383 38.680382
0	59	142	141	0	1	54	135	0.0	10.8	25.8	1	0	Straight	0	2107.3	2133.1	-90.520383 38.680382,-90.520311 38.680403,-90.520251 38.680389000000005,-90.520219 38.680351,-90.520227 38.680301
0	60	141	142	0	1	36	90	0.0	10.3	20.3	1	0	Straight	0	2133.1	2153.4	-90.520227 38.680301,-90.52024 38.680278,-90.520287 38.680265,-90.520348 38.680279999999996,-90.520379 38.680337,-90.520383 38.680382
0	61	142	143	0	1	108	270	0.0	37.9	67.9	1	0	Left	25	2178.4	2246.3	-90.520383 38.680382,-90.520518 38.680419,-90.521074 38.680489,-90.521223 38.680499999999995,-90.521355 38.680471,-90.521436 38.680412000000004,-90.521585 38.680274
0	62	143	34	0	1	108	270	0.0	54.5	84.5	1	0	Right	5	2251.3	2335.8	-90.521585 38.680274,-90.521716 38.680407,-90.521861 38.680521,-90.521977 38.680602,-90.522101 38.680654000000004,-90.523063 38.681008
0	63	34	163	0	1	18	45	0.0	12.0	17.0	1	0	Straight	0	2335.8	2352.8	-90.523063 38.681008,-90.523157 38.681031000000004,-90.523215 38.681028,-90.523359 38.680976
0	64	163	162	0	1	72	180	0.0	27.5	47.5	1	0	Right	5	2357.8	2405.3	-90.523359 38.680976,-90.52341 38.681084,-90.523516 38.681211000000005,-90.523659 38.681329000000005,-90.524014 38.681484999999995,-90.524199 38.681556
0	65	162	160	1	1	18	45	0.0	3.6	8.6	1	0	Right	5	2410.3	2418.9	-90.524199 38.681556,-90.524224 38.681626,-90.524261 38.68164
0	66	160	161	1	1	54	135	0.0	11.6	26.6	1	0	Straight	0	2418.9	2445.5	-90.524261 38.68164,-90.524326 38.68163,-90.524363 38.6816,-90.524365 38.681585
0	67	161	162	0	1	36	90	0.0	6.9	16.9	1	0	Straight	0	2445.5	2462.4	-90.524365 38.681585,-90.524351 38.681526000000005,-90.524303 38.681499,-90.524259 38.681505,-90.524217 38.681529999999995,-90.524199 38.681556
0	68	162	163	0	1	54	135	0.0	32.1	47.1	1	0	Right	5	2467.4	2514.5	-90.524199 38.681556,-90.524014 38.681484999999995,-90.523659 38.681329000000005,-90.523516 38.681211000000005,-90.52341 38.681084,-90.523359 38.680976
